"a","log(a/a-1)","ub_old","ub_k2","lb_k2","ub_k2_add","lb_k2_unadd","ub_k3","lb_k3","ub_k3_add","lb_k3_unadd","ub_k4","lb_k4","ub_k4_add","lb_k4_unadd","ub_k2_unadd","ub_k3_unadd","ub_k4_unadd"
10.14,0.103827612696978,0.104583137958115,0.0761272578752289,0.0428258166082337,0.0802463371301779,0.0428434446822296,0.123223265039757,0.0472682378033132,0.114314792477131,0.0471591401208029,1.00806926379012,0.0477384418991605,0.728635466021643,0.0472042089682551,0.0704417918559572,0.113102076231706,0.360005068035789
10.16,0.103612263464297,0.105770285575018,0.075861543335743,0.0427542521751849,0.0820373321294051,0.0425749595710092,0.122218461631926,0.0471856811508926,0.0905510330667472,0.0480025577543647,0.986631073907226,0.0476592959464253,1.74959443527345,0.047432697306743,0.0756595102780228,0.103082624100184,0.360201511073367
10.18,0.103397806489978,0.105708508166861,0.075597733292357,0.0426829189841745,0.0716482247530894,0.0430799127417801,0.121228195866526,0.0471033789108369,0.0897294689690169,0.0476615889111291,0.965762630706724,0.0475803191522551,0.706697736466007,0.048439879478842,0.0757891477909097,0.102048779457367,12.8680505459833
10.2,0.103184236235231,0.107230886333464,0.0753358077059048,0.0426118159682153,0.0683199908353636,0.0427305451765681,0.120252198954994,0.0470213301866446,0.0696976540055178,0.0469848034213988,0.945446205013376,0.0475015121283034,0.716021059565474,0.047566624902216,0.0757904998271984,0.1124667534642,1.36828276909467
10.22,0.102971547207056,0.0991315603287155,0.0750757468089401,0.0425409420664676,0.0761026571548503,0.042370652442921,0.119290207998794,0.0469395340826369,0.130195140486724,0.0465360201511442,0.92566469959253,0.047422875460457,1.08740154342021,0.0486823842256965,0.0717020997933936,0.111046653307541,0.199151897128128
10.24,0.102759733957769,0.0982565244948165,0.0748175311013892,0.0424702962239529,0.0784828584781385,0.0424885915548434,0.118341965841263,0.0468579897036173,0.100817807505332,0.0467792288740784,0.906401623730177,0.0473444097084563,0.569801891713183,0.0471203442059464,0.0703315894285772,0.0942438133064425,0.217523589199722
10.26,0.102548791084535,0.105248881878237,0.0745611413460603,0.0423998773918466,0.0788381902827712,0.0424985141410342,0.117407220923363,0.0467766961555448,0.18197963882269,0.0472436345425695,0.887641068952997,0.0472661154076205,1.48348419826041,0.0475875960163648,0.072907949809388,0.102878662356555,0.890494573871373
10.28,0.10233871322891,0.0999366777405155,0.0743065585644176,0.0423296845271419,0.0708732361525177,0.0421139614274442,0.116485727143759,0.0466956525450695,0.15693094576721,0.0474505209280023,0.869367685833162,0.0471879930687483,0.559635817682313,0.0479023832549961,0.0772499020738168,0.103884155870285,0.275558388264667
10.3,0.10212949507638,0.0996476792450816,0.0740537640324115,0.0422597165928307,0.0658198694981069,0.0420766831127013,0.115577243722803,0.046614857979982,0.346025881704594,0.0473330185780582,0.85156666182354,0.0471100431788694,-0.681035118381118,0.0463737782426465,0.077131943990453,0.107909933336056,0.579609759228152
10.32,0.101921131355917,0.106231827085238,0.0738027392762539,0.0421899725577231,0.0730948397895175,0.0424813821938123,0.114681535070158,0.0465343115687926,0.10573344261344,0.0471590900767999,0.834223700072686,0.0470322662007979,0.231418569583761,0.0481819585595517,0.0734617590537868,0.0950229027843796,0.225853775939164
